cpf;email;senha;data_de_nascimento;estado;data_cadastro;ipv4;cor_favorita;profissao;telefone
981.507.362-12;pedro-lucas53@gmail.com;+7^7E%xFBc;2006-12-18;RR;2023-02-26;99.107.250.210;Roxo;Jogador De Golfe;31 7785-4046
493.705.168-75;rezendeisaac@hotmail.com;_O_2GRnGOe;1992-06-17;GO;2023-02-16;197.11.26.213;Ciano;Atleta De Arremesso De Peso;(031) 0803-6753
398.471.625-73;felipepires@uol.com.br;*Aw5EOAvy9;1921-11-11;MG;2023-01-02;181.90.63.58;Azul;Papiloscopista;11 9674-0553
092.618.354-06;stellamoraes@bol.com.br;mw0AWYAs#s;2021-06-01;AC;2023-01-08;26.121.127.94;Marrom;Aeromoça;+55 (071) 3033 9177
509.427.136-99;wcarvalho@ig.com.br;pGD%!2Pq5X;1969-10-28;AP;2023-02-14;76.184.52.163;Laranja;Fonoaudiólogo;+55 (071) 6272 2468
218.795.460-94;da-conceicaodavi-lucas@hotmail.com;uhBbFxPA&9;1986-05-19;MG;2023-03-07;192.93.0.24;Rosa;Taxista;+55 84 0652 9691
715.836.940-48;efreitas@bol.com.br;s#q9VZt&xl;2018-04-20;MG;2023-01-13;76.251.188.148;Branco;Produtor De Audio Visual;+55 (084) 1363 0052
475.698.032-56;wnunes@bol.com.br;_8az1W%n7g;1996-05-12;SE;2023-02-04;139.196.176.154;Azul;Cadeirinha;(071) 1640-3388
217.639.540-99;jribeiro@bol.com.br;MEf1X7fj_0;2021-10-05;PA;2023-03-02;71.22.224.5;Marrom;Geólogo;21 1432 4092
261.938.750-77;murilo05@gmail.com;Te&gO7GkKs;1917-01-05;MT;2023-02-21;136.54.123.165;Marrom;Técnico De Som;+55 (084) 5878-3346
520.831.796-68;joaquim57@ig.com.br;&2E1NY+ARc;1912-05-25;BA;2023-01-25;78.196.255.126;Rosa;Esteticista;41 7914-3753
413.087.526-44;alexiada-rocha@ig.com.br;@f@!Z!2c*2;1920-05-26;MS;2023-02-18;182.61.65.201;Laranja;Microfonista;(021) 3739-2944
509.287.143-14;pmendes@gmail.com;M+^XDBfe(2;1938-03-11;RR;2023-01-19;61.234.208.17;Verde Claro;Fiscal;+55 (084) 5940-1932
563.170.492-70;renan46@bol.com.br;Rp%2pVqfe$;1922-09-01;PA;2023-02-01;122.203.83.177;Verde Escuro;Contabilista;+55 41 6248 5773
